url,reg_code,reg_code_3,reg_name,num_tour,inscrits_nb,abstention_nb,abstention_pourc,votants_nb,blancs_nb,blancs_pourc_inscrits,blancs_pourc_votants,nuls_nb,nuls_pourc_inscrits,nuls_pourc_votants,exprimes_nb,exprimes_pourc_inscrits,exprimes_pourc_votants,cand_num_panneau,cand_nom,cand_prenom,cand_civil,cand_nb_voix,cand_rapport_exprim,cand_rapport_inscrits
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/001/001.xml,01,001,Guadeloupe,1,316023,174592,55.25,141431,2719,0.86,1.92,3627,1.15,2.56,135085,42.75,95.51,1,ARTHAUD,Nathalie,Mme,1084,0.80,0.34
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/001/001.xml,01,001,Guadeloupe,1,316023,174592,55.25,141431,2719,0.86,1.92,3627,1.15,2.56,135085,42.75,95.51,2,ROUSSEL,Fabien,M.,668,0.49,0.21
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/001/001.xml,01,001,Guadeloupe,1,316023,174592,55.25,141431,2719,0.86,1.92,3627,1.15,2.56,135085,42.75,95.51,3,MACRON,Emmanuel,M.,18137,13.43,5.74
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/001/001.xml,01,001,Guadeloupe,1,316023,174592,55.25,141431,2719,0.86,1.92,3627,1.15,2.56,135085,42.75,95.51,4,LASSALLE,Jean,M.,1033,0.76,0.33
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/001/001.xml,01,001,Guadeloupe,1,316023,174592,55.25,141431,2719,0.86,1.92,3627,1.15,2.56,135085,42.75,95.51,5,LE PEN,Marine,Mme,24204,17.92,7.66
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/001/001.xml,01,001,Guadeloupe,1,316023,174592,55.25,141431,2719,0.86,1.92,3627,1.15,2.56,135085,42.75,95.51,6,ZEMMOUR,Éric,M.,3098,2.29,0.98
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/001/001.xml,01,001,Guadeloupe,1,316023,174592,55.25,141431,2719,0.86,1.92,3627,1.15,2.56,135085,42.75,95.51,7,MÉLENCHON,Jean-Luc,M.,75862,56.16,24.01
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/001/001.xml,01,001,Guadeloupe,1,316023,174592,55.25,141431,2719,0.86,1.92,3627,1.15,2.56,135085,42.75,95.51,8,HIDALGO,Anne,Mme,2266,1.68,0.72
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/001/001.xml,01,001,Guadeloupe,1,316023,174592,55.25,141431,2719,0.86,1.92,3627,1.15,2.56,135085,42.75,95.51,9,JADOT,Yannick,M.,1927,1.43,0.61
https://www.resultats-elections.interieur.gouv.fr/telechargements/PR2022/resultatsT1/001/001.xml,01,001,Guadeloupe,1,316023,174592,55.25,141431,2719,0.86,1.92,3627,1.15,2.56,135085,42.75,95.51,10,PÉCRESSE,Valérie,Mme,3979,2.95,1.26
